,Unnamed: 0,Unnamed: 0.1,link,name,abbreviation,number,precinct,party,titles,twitter
0,0,0,/altext/cv/is/?nfaerslunr=1324,Albertína Friðbjörg Elías­dóttir,AFE,10. þm.,Norðaust.,Samfylkingin,[],http://twitter.com/albertinae
1,1,1,/altext/cv/is/?nfaerslunr=1234,Andrés Ingi Jóns­son,AIJ,9. þm.,Reykv. n.,Píratar,[],http://twitter.com/andresingi
2,2,2,/altext/cv/is/?nfaerslunr=1326,Anna Kolbrún Árna­dóttir,AKÁ,8. þm.,Norðaust.,Miðflokkurinn,[],
3,3,3,/altext/cv/is/?nfaerslunr=1249,Ari Trausti Guðmunds­son,ATG,5. þm.,Suðurk.,Vinstrihreyfingin - grænt framboð,[],
4,4,4,/altext/cv/is/?nfaerslunr=647,Ágúst Ólafur Ágústs­son,ÁÓÁ,3. þm.,Reykv. s.,Samfylkingin,[],
5,5,5,/altext/cv/is/?nfaerslunr=1261,Áslaug Arna Sigurbjörns­dóttir,ÁslS,5. þm.,Reykv. n.,Sjálfstæðisflokkur,['dómsmála\xadráðherra'],http://twitter.com/aslaugarna
6,6,6,/altext/cv/is/?nfaerslunr=707,Ásmundur Einar Daða­son,ÁsmD,2. þm.,Norð­vest.,Framsóknarflokkur,['félags- og barnamála\xadráðherra'],http://twitter.com/asmundureinar
7,7,7,/altext/cv/is/?nfaerslunr=1157,Ásmundur Friðriks­son,ÁsF,4. þm.,Suðurk.,Sjálfstæðisflokkur,[],
8,8,8,/altext/cv/is/?nfaerslunr=1327,Bergþór Óla­son,BergÓ,4. þm.,Norð­vest.,Miðflokkurinn,"['vara\xadfor\xadmaður þing\xadflokks', 'formaður umhverfis- og samgöngunefndar']",
9,9,9,/altext/cv/is/?nfaerslunr=650,Birgir Ármanns­son,BÁ,8. þm.,Reykv. n.,Sjálfstæðisflokkur,['for\xadmaður þing\xadflokks'],
10,10,10,/altext/cv/is/?nfaerslunr=1129,Birgir Þórarins­son,BirgÞ,3. þm.,Suðurk.,Miðflokkurinn,[],
11,11,11,/altext/cv/is/?nfaerslunr=1012,Bjarkey Olsen Gunnars­dóttir,BjG,7. þm.,Norðaust.,Vinstrihreyfingin - grænt framboð,['for\xadmaður þing\xadflokks'],http://twitter.com/BjarkeyOlsen
12,12,12,/altext/cv/is/?nfaerslunr=652,Bjarni Benedikts­son,BjarnB,1. þm.,Suð­vest.,Sjálfstæðisflokkur,['fjár\xadmála- og efna\xadhags\xadráðherra'],http://twitter.com/Bjarni_Ben
13,13,13,/altext/cv/is/?nfaerslunr=1215,Björn Leví Gunnars­son,BLG,11. þm.,Reykv. s.,Píratar,['5. vara\xadforseti'],http://twitter.com/_bjornlevi_
14,14,14,/altext/cv/is/?nfaerslunr=1039,Bryndís Haralds­dóttir,BHar,2. þm.,Suð­vest.,Sjálfstæðisflokkur,['6. vara\xadforseti'],http://twitter.com/bryndisharalds
15,15,15,/altext/cv/is/?nfaerslunr=1160,Brynjar Níels­son,BN,5. þm.,Reykv. s.,Sjálfstæðisflokkur,['2. vara\xadforseti'],
16,16,16,/altext/cv/is/?nfaerslunr=1257,Guðjón S. Brjáns­son,GBr,6. þm.,Norð­vest.,Samfylkingin,['1. vara\xadforseti'],
17,17,17,/altext/cv/is/?nfaerslunr=656,Guðlaugur Þór Þórðar­son,GÞÞ,1. þm.,Reykv. n.,Sjálfstæðisflokkur,['utanríkis- og þróunarsamvinnu\xadráðherra'],http://twitter.com/GudlaugurThor
18,18,18,/altext/cv/is/?nfaerslunr=1329,Guðmundur Ingi Kristins­son,GIK,12. þm.,Suð­vest.,Flokkur fólksins,['for\xadmaður þing\xadflokks'],
19,19,19,/altext/cv/is/?nfaerslunr=1328,Guðmundur Andri Thors­son,GuðmT,4. þm.,Suð­vest.,Samfylkingin,['vara\xadfor\xadmaður þing\xadflokks'],
20,20,20,/altext/cv/is/?nfaerslunr=722,Gunnar Bragi Sveins­son,GBS,6. þm.,Suð­vest.,Miðflokkurinn,['for\xadmaður þing\xadflokks'],http://twitter.com/GunnarBragiS
21,21,21,/altext/cv/is/?nfaerslunr=1330,Halla Signý Kristjáns­dóttir,HSK,7. þm.,Norð­vest.,Framsóknarflokkur,[],http://twitter.com/HallaSigny
22,22,22,/altext/cv/is/?nfaerslunr=1218,Halldóra Mogensen,HallM,11. þm.,Reykv. n.,Píratar,['for\xadmaður þing\xadflokks'],http://twitter.com/Halldoramog
23,23,23,/altext/cv/is/?nfaerslunr=1276,Hanna Katrín Friðriks­son,HKF,7. þm.,Reykv. s.,Viðreisn,['for\xadmaður þing\xadflokks'],http://twitter.com/HannaKataF
24,24,24,/altext/cv/is/?nfaerslunr=1164,Haraldur Benedikts­son,HarB,1. þm.,Norð­vest.,Sjálfstæðisflokkur,[],
25,25,25,/altext/cv/is/?nfaerslunr=1331,Helga Vala Helga­dóttir,HVH,4. þm.,Reykv. n.,Samfylkingin,['formaður velferðarnefndar'],http://twitter.com/helgavalan
26,26,26,/altext/cv/is/?nfaerslunr=1166,Helgi Hrafn Gunnars­son,HHG,3. þm.,Reykv. n.,Píratar,[],http://twitter.com/helgihg
27,27,27,/altext/cv/is/?nfaerslunr=1332,Inga Sæland,IngS,8. þm.,Reykv. s.,Flokkur fólksins,['vara\xadfor\xadmaður þing\xadflokks'],
28,28,28,/altext/cv/is/?nfaerslunr=688,Jón Gunnars­son,JónG,5. þm.,Suð­vest.,Sjálfstæðisflokkur,[],http://twitter.com/@jon_gunnarsson
29,29,29,/altext/cv/is/?nfaerslunr=1168,Jón Þór Ólafs­son,JÞÓ,8. þm.,Suð­vest.,Píratar,['formaður stjórnskipunar- og eftirlitsnefndar'],
30,30,30,/altext/cv/is/?nfaerslunr=1250,Jón Steindór Valdimars­son,JSV,13. þm.,Suð­vest.,Viðreisn,['vara\xadfor\xadmaður þing\xadflokks'],http://twitter.com/JonSteindor
31,31,31,/altext/cv/is/?nfaerslunr=1333,Karl Gauti Hjalta­son,KGH,8. þm.,Suðurk.,Miðflokkurinn,[],
32,32,32,/altext/cv/is/?nfaerslunr=690,Katrín Jakobs­dóttir,KJak,2. þm.,Reykv. n.,Vinstrihreyfingin - grænt framboð,['forsætis\xadráðherra'],http://twitter.com/katrinjak
33,33,33,/altext/cv/is/?nfaerslunr=1265,Kolbeinn Óttars­son Proppé,KÓP,6. þm.,Reykv. s.,Vinstrihreyfingin - grænt framboð,['vara\xadfor\xadmaður þing\xadflokks'],
34,34,34,/altext/cv/is/?nfaerslunr=691,Kristján Þór Júlíus­son,KÞJ,1. þm.,Norðaust.,Sjálfstæðisflokkur,['sjávar\xadútvegs- og land\xadbúnaðar\xadráðherra'],http://twitter.com/kristjanthorj
35,35,35,/altext/cv/is/?nfaerslunr=1244,Lilja Alfreðs­dóttir,LA,9. þm.,Reykv. s.,Framsóknarflokkur,['mennta- og menn\xadingar\xadmála\xadráðherra'],
36,36,36,/altext/cv/is/?nfaerslunr=714,Lilja Rafney Magnús­dóttir,LRM,3. þm.,Norð­vest.,Vinstrihreyfingin - grænt framboð,['formaður atvinnuveganefndar'],
37,37,37,/altext/cv/is/?nfaerslunr=1170,Líneik Anna Sævars­dóttir,LínS,4. þm.,Norðaust.,Framsóknarflokkur,['vara\xadfor\xadmaður þing\xadflokks'],http://twitter.com/lineikanna
38,38,38,/altext/cv/is/?nfaerslunr=1128,Logi Einars­son,LE,5. þm.,Norðaust.,Samfylkingin,[],http://twitter.com/logieinarsson
39,39,39,/altext/cv/is/?nfaerslunr=1255,Njáll Trausti Friðberts­son,NTF,6. þm.,Norðaust.,Sjálfstæðisflokkur,[],
40,40,40,/altext/cv/is/?nfaerslunr=719,Oddný G. Harðar­dóttir,OH,6. þm.,Suðurk.,Samfylkingin,['for\xadmaður þing\xadflokks'],http://twitter.com/OddnyHardar
41,41,41,/altext/cv/is/?nfaerslunr=1001,Ólafur Þór Gunnars­son,ÓGunn,11. þm.,Suð­vest.,Vinstrihreyfingin - grænt framboð,[],
42,42,42,/altext/cv/is/?nfaerslunr=1334,Ólafur Ísleifs­son,ÓÍ,10. þm.,Reykv. n.,Miðflokkurinn,[],
43,43,43,/altext/cv/is/?nfaerslunr=999,Óli Björn Kára­son,ÓBK,10. þm.,Suð­vest.,Sjálfstæðisflokkur,['formaður efnahags- og viðskiptanefndar'],
44,44,44,/altext/cv/is/?nfaerslunr=1266,Páll Magnús­son,PállM,1. þm.,Suðurk.,Sjálfstæðisflokkur,['formaður allsherjar- og menntamálanefndar'],
45,45,45,/altext/cv/is/?nfaerslunr=1183,Rósa Björk Brynjólfs­dóttir,RBB,3. þm.,Suð­vest.,Samfylkingin,[],http://twitter.com/RosaBjorkB
46,46,46,/altext/cv/is/?nfaerslunr=729,Sigmundur Davíð Gunnlaugs­son,SDG,3. þm.,Norðaust.,Miðflokkurinn,[],http://twitter.com/sigmundurdavid
47,47,47,/altext/cv/is/?nfaerslunr=1018,Sigríður Á. Andersen,SÁA,1. þm.,Reykv. s.,Sjálfstæðisflokkur,['formaður utanríkismálanefndar'],http://twitter.com/siggaandersen
48,48,48,/altext/cv/is/?nfaerslunr=726,Sigurður Ingi Jóhanns­son,SIJ,2. þm.,Suðurk.,Framsóknarflokkur,"['samgöngu- og sveitarstjórnar\xadráðherra', 'ráðherra nor\xadrænna sam\xadstarfs\xadmála']",
49,49,49,/altext/cv/is/?nfaerslunr=1203,Sigurður Páll Jóns­son,SPJ,8. þm.,Norð­vest.,Miðflokkurinn,[],
50,50,50,/altext/cv/is/?nfaerslunr=1174,Silja Dögg Gunnars­dóttir,SilG,7. þm.,Suðurk.,Framsóknarflokkur,[],http://twitter.com/silja_dogg
51,51,51,/altext/cv/is/?nfaerslunr=1268,Smári McCarthy,SMc,10. þm.,Suðurk.,Píratar,[],http://twitter.com/smarimc
52,52,52,/altext/cv/is/?nfaerslunr=557,Steingrímur J. Sigfús­son,SJS,2. þm.,Norðaust.,Vinstrihreyfingin - grænt framboð,['forseti'],
53,53,53,/altext/cv/is/?nfaerslunr=1031,Steinunn Þóra Árna­dóttir,SÞÁ,6. þm.,Reykv. n.,Vinstrihreyfingin - grænt framboð,[],http://twitter.com/steinunnar
54,54,54,/altext/cv/is/?nfaerslunr=730,Svandís Svavars­dóttir,SSv,2. þm.,Reykv. s.,Vinstrihreyfingin - grænt framboð,['heilbrigðis\xadráðherra'],http://twitter.com/svasva
55,55,55,/altext/cv/is/?nfaerslunr=1176,Vilhjálmur Árna­son,VilÁ,9. þm.,Suðurk.,Sjálfstæðisflokkur,['vara\xadfor\xadmaður þing\xadflokks'],http://twitter.com/VilliArna
56,56,56,/altext/cv/is/?nfaerslunr=1178,Willum Þór Þórs­son,WÞÞ,9. þm.,Suð­vest.,Framsóknarflokkur,"['4. vara\xadforseti', 'for\xadmaður þing\xadflokks', 'formaður fjárlaganefndar']",http://twitter.com/WillumThor
57,57,57,/altext/cv/is/?nfaerslunr=1387,Þorbjörg Sigríður Gunnlaugs­dóttir,ÞorbG,7. þm.,Reykv. n.,Viðreisn,[],http://twitter.com/obbasigga
58,58,58,/altext/cv/is/?nfaerslunr=632,Þorgerður K. Gunnars­dóttir,ÞKG,7. þm.,Suð­vest.,Viðreisn,[],http://twitter.com/thorgkatrin
59,59,59,/altext/cv/is/?nfaerslunr=1179,Þorsteinn Sæmunds­son,ÞorS,10. þm.,Reykv. s.,Miðflokkurinn,['3. vara\xadforseti'],
60,60,60,/altext/cv/is/?nfaerslunr=1345,Þórarinn Ingi Péturs­son,ÞórP,9. þm.,Norðaust.,Framsóknarflokkur,[],http://twitter.com/OrarinnI
61,61,61,/altext/cv/is/?nfaerslunr=1252,Þórdís Kolbrún R. Gylfa­dóttir,ÞórdG,5. þm.,Norð­vest.,Sjálfstæðisflokkur,"['ferðamála-, iðnaðar- og nýsköpunar\xadráðherra']",http://twitter.com/@thordiskolbrun
62,62,62,/altext/cv/is/?nfaerslunr=1270,Þórhildur Sunna Ævars­dóttir,ÞSÆ,4. þm.,Reykv. s.,Píratar,['vara\xadfor\xadmaður þing\xadflokks'],http://twitter.com/sunnago
